# Region type : patch pressure_outlet
# Faces       : 354
# Area        : 3.066803e-04
# Scale factor: 1.000000e+00
# Time        	areaAverage(U)
1             	(2.918278e-01 -3.360386e+01 3.911331e-02)
2             	(1.967644e-01 2.494932e+00 2.575283e-01)
3             	(3.743509e-01 3.191304e+01 -1.254334e+00)
4             	(2.624278e-01 3.947866e+01 -7.277721e-01)
5             	(-4.139122e-02 3.231975e+01 -8.081666e-01)
6             	(-8.986587e-02 2.044754e+01 -2.463146e-01)
7             	(-1.585370e-01 5.055027e+00 4.603241e-01)
8             	(-1.504112e-01 -7.680418e+00 6.991999e-01)
9             	(-1.201806e-01 -1.327543e+01 1.033283e+00)
10            	(-2.636309e-03 -1.364515e+01 1.215415e+00)
11            	(-1.673138e-01 -1.111134e+01 1.429947e+00)
12            	(-6.204371e-02 -6.759972e+00 1.603352e+00)
13            	(-2.557029e-01 -1.975225e+00 1.478347e+00)
14            	(-2.686048e-01 1.758728e+00 1.634342e+00)
15            	(-1.444249e-01 3.775862e+00 1.676765e+00)
16            	(-3.741242e-02 3.976587e+00 1.631584e+00)
17            	(2.531057e-02 2.849929e+00 1.456310e+00)
18            	(1.675704e-01 1.093908e+00 1.505468e+00)
19            	(2.550623e-01 -6.207356e-01 1.716879e+00)
20            	(2.666836e-01 -1.845618e+00 1.904832e+00)
21            	(3.676467e-01 -2.260402e+00 2.488601e+00)
22            	(3.959992e-01 -1.959717e+00 2.510811e+00)
23            	(4.301831e-01 -1.179556e+00 2.238032e+00)
24            	(4.337157e-01 -3.112034e-01 2.129476e+00)
25            	(4.458669e-01 3.614589e-01 2.140241e+00)
26            	(4.645838e-01 6.523127e-01 2.187205e+00)
27            	(4.794542e-01 5.777285e-01 2.182338e+00)
28            	(4.734137e-01 2.518187e-01 2.073275e+00)
29            	(5.027606e-01 -1.553028e-01 1.902731e+00)
30            	(5.234949e-01 -4.989804e-01 1.834237e+00)
31            	(5.845187e-01 -6.639997e-01 1.815389e+00)
32            	(5.803868e-01 -6.492433e-01 1.749284e+00)
33            	(6.083572e-01 -4.814247e-01 1.713320e+00)
34            	(5.982011e-01 -2.583599e-01 1.667650e+00)
35            	(5.812411e-01 -5.753505e-02 1.561855e+00)
36            	(5.578115e-01 5.159635e-02 1.515969e+00)
37            	(5.281648e-01 6.897223e-02 1.417896e+00)
38            	(5.051178e-01 -4.669123e-03 1.388893e+00)
39            	(4.966673e-01 -1.155681e-01 1.323962e+00)
40            	(4.955779e-01 -2.250771e-01 1.331770e+00)
41            	(4.577048e-01 -2.901585e-01 1.290534e+00)
42            	(4.059985e-01 -3.086655e-01 1.300176e+00)
43            	(3.754895e-01 -2.901868e-01 1.258017e+00)
44            	(3.569869e-01 -2.532858e-01 1.241446e+00)
45            	(3.914849e-01 -1.764326e-01 1.110722e+00)
46            	(3.576924e-01 -1.132500e-01 1.068063e+00)
47            	(3.204449e-01 -7.315485e-02 9.962156e-01)
48            	(2.796963e-01 -7.329649e-02 9.248587e-01)
49            	(2.401496e-01 -9.577878e-02 9.078978e-01)
50            	(2.040852e-01 -1.272202e-01 7.665711e-01)
51            	(1.904940e-01 -1.475492e-01 7.290690e-01)
52            	(1.935160e-01 -1.554492e-01 6.252146e-01)
53            	(1.877027e-01 -1.485435e-01 5.603066e-01)
54            	(1.804144e-01 -1.421942e-01 5.044590e-01)
55            	(1.971467e-01 -1.187940e-01 4.308236e-01)
56            	(1.985341e-01 -9.743165e-02 3.674439e-01)
57            	(2.194655e-01 -8.280266e-02 3.673257e-01)
58            	(2.212611e-01 -8.348808e-02 3.205070e-01)
59            	(2.424153e-01 -8.818799e-02 2.899563e-01)
