# Region type : patch pressure_outlet
# Faces       : 11534
# Area        : 3.696967e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(U)
1             	(-1.157937e-06 -9.129613e-07 9.855403e-04)
2             	(-1.086227e-06 -8.982281e-07 9.892456e-04)
3             	(-8.946912e-07 -7.978076e-07 1.003613e-03)
4             	(-7.178653e-07 -6.982434e-07 1.015304e-03)
5             	(-5.432992e-07 -5.996784e-07 1.014452e-03)
6             	(-3.986434e-07 -5.111203e-07 1.002492e-03)
7             	(-2.664406e-07 -4.384675e-07 9.900374e-04)
8             	(-1.505669e-07 -3.976143e-07 9.872689e-04)
9             	(-5.530393e-08 -3.901107e-07 9.959487e-04)
10            	(2.636612e-08 -4.007973e-07 1.007474e-03)
11            	(8.903279e-08 -4.028754e-07 1.011282e-03)
12            	(1.309571e-07 -4.018170e-07 1.004721e-03)
13            	(1.664021e-07 -4.024476e-07 9.946255e-04)
14            	(2.000798e-07 -4.073991e-07 9.902741e-04)
15            	(2.312569e-07 -4.248327e-07 9.949000e-04)
16            	(2.607263e-07 -4.473630e-07 1.003429e-03)
17            	(2.847899e-07 -4.675971e-07 1.007900e-03)
18            	(2.992153e-07 -4.766923e-07 1.004839e-03)
19            	(3.065956e-07 -4.843958e-07 9.978456e-04)
20            	(3.100204e-07 -4.966613e-07 9.935823e-04)
21            	(3.130807e-07 -5.121519e-07 9.955090e-04)
22            	(3.142970e-07 -5.285116e-07 1.001163e-03)
23            	(3.117073e-07 -5.428972e-07 1.005055e-03)
24            	(3.049921e-07 -5.530417e-07 1.003919e-03)
25            	(2.949861e-07 -5.573612e-07 9.993707e-04)
26            	(2.849149e-07 -5.629433e-07 9.958838e-04)
27            	(2.771241e-07 -5.689429e-07 9.964505e-04)
28            	(2.709078e-07 -5.749162e-07 1.000077e-03)
29            	(2.643894e-07 -5.809801e-07 1.003140e-03)
30            	(2.568270e-07 -5.831178e-07 1.002959e-03)
31            	(2.488940e-07 -5.816598e-07 1.000081e-03)
32            	(2.409831e-07 -5.805125e-07 9.974111e-04)
33            	(2.333721e-07 -5.823390e-07 9.973215e-04)
34            	(2.259406e-07 -5.874630e-07 9.995844e-04)
35            	(2.184699e-07 -5.932332e-07 1.001886e-03)
36            	(2.110199e-07 -5.972893e-07 1.002154e-03)
37            	(2.034630e-07 -5.994982e-07 1.000391e-03)
38            	(1.964204e-07 -6.014440e-07 9.984249e-04)
39            	(1.897725e-07 -6.050296e-07 9.980475e-04)
40            	(1.831363e-07 -6.107892e-07 9.994073e-04)
41            	(1.768422e-07 -6.176418e-07 1.001073e-03)
42            	(1.700709e-07 -6.239765e-07 1.001510e-03)
43            	(1.637401e-07 -6.292394e-07 1.000475e-03)
44            	(1.584312e-07 -6.341439e-07 9.990760e-04)
45            	(1.530490e-07 -6.405542e-07 9.986164e-04)
46            	(1.475263e-07 -6.488434e-07 9.993961e-04)
47            	(1.419656e-07 -6.584882e-07 1.000563e-03)
48            	(1.360655e-07 -6.682417e-07 1.001022e-03)
49            	(1.304104e-07 -6.777370e-07 1.000444e-03)
50            	(1.249334e-07 -6.874674e-07 9.994779e-04)
51            	(1.197910e-07 -6.985160e-07 9.990405e-04)
52            	(1.147044e-07 -7.114848e-07 9.994622e-04)
53            	(1.096705e-07 -7.258633e-07 1.000259e-03)
54            	(1.045724e-07 -7.409237e-07 1.000669e-03)
55            	(9.939334e-08 -7.566001e-07 1.000369e-03)
56            	(9.463757e-08 -7.730092e-07 9.997184e-04)
57            	(9.014509e-08 -7.907580e-07 9.993462e-04)
58            	(8.576122e-08 -8.102910e-07 9.995554e-04)
59            	(8.130659e-08 -8.315676e-07 1.000087e-03)
60            	(7.680469e-08 -8.543466e-07 1.000424e-03)
61            	(7.224298e-08 -8.782338e-07 1.000286e-03)
62            	(7.251666e-08 -8.824094e-07 9.998572e-04)
63            	(6.952160e-08 -8.986583e-07 9.995643e-04)
64            	(6.608030e-08 -9.195409e-07 9.996523e-04)
65            	(6.401630e-08 -9.447751e-07 1.000001e-03)
66            	(6.208479e-08 -9.733336e-07 1.000264e-03)
67            	(6.036527e-08 -1.003986e-06 1.000216e-03)
68            	(5.875491e-08 -1.036089e-06 9.999398e-04)
69            	(5.733055e-08 -1.070269e-06 9.997129e-04)
70            	(5.576232e-08 -1.106608e-06 9.997358e-04)
71            	(5.422200e-08 -1.145749e-06 9.999585e-04)
72            	(5.238523e-08 -1.187614e-06 1.000157e-03)
73            	(5.019778e-08 -1.232046e-06 1.000157e-03)
74            	(4.560830e-08 -1.275931e-06 9.999836e-04)
75            	(4.266726e-08 -1.325569e-06 9.998160e-04)
76            	(3.937252e-08 -1.377830e-06 9.998061e-04)
77            	(3.526715e-08 -1.433909e-06 9.999457e-04)
78            	(3.155512e-08 -1.493591e-06 1.000092e-03)
79            	(2.710299e-08 -1.557008e-06 1.000114e-03)
80            	(2.224948e-08 -1.624060e-06 1.000010e-03)
81            	(1.746815e-08 -1.694792e-06 9.998901e-04)
82            	(1.235209e-08 -1.770032e-06 9.998662e-04)
83            	(7.079506e-09 -1.850087e-06 9.999505e-04)
84            	(1.403914e-09 -1.934199e-06 1.000056e-03)
85            	(-1.737384e-08 -1.994103e-06 1.000088e-03)
86            	(-2.515971e-08 -2.077759e-06 1.000032e-03)
87            	(-3.870610e-08 -2.169083e-06 9.999447e-04)
88            	(-5.414670e-08 -2.269074e-06 9.999172e-04)
89            	(-6.926152e-08 -2.378024e-06 9.999684e-04)
90            	(-8.592038e-08 -2.493121e-06 1.000045e-03)
91            	(-1.086365e-07 -2.586839e-06 1.000080e-03)
92            	(-1.226855e-07 -2.702500e-06 1.000056e-03)
93            	(-1.394570e-07 -2.833862e-06 9.999965e-04)
94            	(-1.580673e-07 -2.970382e-06 9.999618e-04)
95            	(-1.782151e-07 -3.115116e-06 9.999863e-04)
96            	(-1.985713e-07 -3.269302e-06 1.000039e-03)
97            	(-1.849269e-07 -3.373415e-06 1.000080e-03)
98            	(-1.844449e-07 -3.507629e-06 1.000093e-03)
99            	(-1.744249e-07 -3.673496e-06 1.000061e-03)
100           	(-1.720077e-07 -3.848749e-06 1.000025e-03)
101           	(-1.745079e-07 -4.034169e-06 1.000022e-03)
102           	(-1.814679e-07 -4.232707e-06 1.000055e-03)
103           	(-1.906285e-07 -4.444931e-06 1.000097e-03)
104           	(-2.024777e-07 -4.670535e-06 1.000116e-03)
105           	(-2.170697e-07 -4.910280e-06 1.000106e-03)
106           	(-2.278845e-07 -5.023358e-06 1.000081e-03)
107           	(-2.967888e-07 -5.334889e-06 1.000141e-03)
108           	(-3.178335e-07 -5.536444e-06 1.000059e-03)
109           	(-3.815999e-07 -5.750481e-06 1.000144e-03)
110           	(-4.503008e-07 -6.029323e-06 1.000160e-03)
111           	(-5.046218e-07 -6.315696e-06 1.000155e-03)
112           	(-4.621024e-07 -6.522662e-06 1.000147e-03)
113           	(-4.944965e-07 -6.816835e-06 1.000182e-03)
114           	(-5.145454e-07 -7.124941e-06 1.000177e-03)
115           	(-7.793108e-07 -6.533137e-06 1.000197e-03)
116           	(-7.186350e-07 -7.305327e-06 1.000555e-03)
117           	(-6.188485e-07 -7.845684e-06 1.000288e-03)
118           	(-5.938015e-07 -8.234209e-06 1.000007e-03)
119           	(-9.431049e-07 -7.629649e-06 9.999399e-04)
120           	(-8.956011e-07 -8.563091e-06 1.000433e-03)
121           	(-7.813829e-07 -9.464223e-06 1.000232e-03)
122           	(-1.060198e-06 -8.857271e-06 9.999250e-04)
123           	(-9.577032e-07 -9.301164e-06 1.000379e-03)
124           	(-8.828769e-07 -1.078527e-05 1.000160e-03)
125           	(-1.327384e-06 -1.001920e-05 9.998715e-04)
126           	(-1.050442e-06 -1.098627e-05 1.000327e-03)
127           	(-1.087268e-06 -1.250418e-05 1.000092e-03)
128           	(-1.461171e-06 -1.178638e-05 9.996928e-04)
129           	(-1.209681e-06 -1.253476e-05 1.000355e-03)
130           	(-1.315773e-06 -1.452465e-05 1.000232e-03)
131           	(-1.481891e-06 -1.336366e-05 9.997430e-04)
132           	(-1.414562e-06 -1.470487e-05 1.000460e-03)
133           	(-1.150593e-06 -1.690184e-05 1.000082e-03)
134           	(-1.546175e-06 -1.505453e-05 9.994220e-04)
135           	(-1.472211e-06 -1.621919e-05 1.000395e-03)
136           	(-1.650892e-06 -1.632875e-05 1.000196e-03)
137           	(-1.582150e-06 -1.801256e-05 1.001153e-03)
138           	(-1.313147e-06 -2.043651e-05 1.000051e-03)
139           	(-1.571641e-06 -1.824878e-05 9.986333e-04)
140           	(-1.765893e-06 -1.841726e-05 9.999903e-04)
141           	(-1.805892e-06 -2.014435e-05 1.000544e-03)
142           	(-1.631649e-06 -2.009336e-05 9.997791e-04)
143           	(-1.903971e-06 -2.198476e-05 1.001149e-03)
144           	(-1.589974e-06 -2.148172e-05 9.997672e-04)
145           	(-1.931358e-06 -2.035382e-05 1.001116e-03)
146           	(-1.626929e-06 -2.181469e-05 1.001086e-03)
147           	(-1.537726e-06 -2.214426e-05 1.000427e-03)
148           	(-1.545511e-06 -2.276225e-05 9.997897e-04)
149           	(-1.315436e-06 -2.425272e-05 9.996978e-04)
150           	(-2.691817e-07 -2.911082e-05 1.000013e-03)
151           	(1.154605e-06 -3.611386e-05 1.000691e-03)
152           	(2.301402e-06 -4.323657e-05 1.000997e-03)
153           	(2.945593e-06 -4.813164e-05 9.992197e-04)
154           	(3.724071e-06 -5.449270e-05 9.962405e-04)
155           	(3.274558e-06 -5.306059e-05 9.923570e-04)
156           	(2.622786e-06 -5.724558e-05 9.903582e-04)
157           	(2.965014e-06 -5.709991e-05 9.890356e-04)
158           	(6.113013e-07 -5.477916e-05 9.909847e-04)
159           	(7.983691e-07 -5.743582e-05 9.917279e-04)
160           	(2.281779e-06 -5.467852e-05 9.921776e-04)
161           	(2.944264e-06 -5.652099e-05 9.943208e-04)
162           	(2.799792e-06 -5.943682e-05 9.965522e-04)
163           	(3.377078e-06 -5.941338e-05 9.988567e-04)
164           	(2.521618e-06 -6.037528e-05 1.002421e-03)
165           	(2.997997e-06 -6.107511e-05 1.005353e-03)
166           	(2.276982e-06 -5.989444e-05 1.006365e-03)
167           	(1.964695e-06 -6.160536e-05 1.006071e-03)
168           	(1.594131e-06 -6.200763e-05 1.004301e-03)
169           	(1.302903e-06 -6.291438e-05 1.002389e-03)
170           	(7.901084e-07 -6.160193e-05 1.000799e-03)
171           	(-6.081848e-07 -6.048186e-05 1.000579e-03)
172           	(-8.392905e-07 -5.955408e-05 1.000942e-03)
173           	(-8.733303e-07 -5.885123e-05 1.002421e-03)
174           	(-1.005372e-06 -5.846592e-05 1.003855e-03)
175           	(-1.670935e-08 -6.122916e-05 1.004922e-03)
176           	(-3.535224e-07 -5.856095e-05 1.003480e-03)
177           	(1.085904e-06 -5.667940e-05 1.000164e-03)
178           	(2.231239e-06 -5.314399e-05 9.983331e-04)
179           	(3.182061e-06 -5.152848e-05 9.994679e-04)
180           	(3.361234e-06 -4.957213e-05 1.001308e-03)
181           	(3.439801e-06 -4.834829e-05 1.002453e-03)
182           	(2.989745e-06 -4.756000e-05 1.003550e-03)
183           	(3.117950e-06 -4.642530e-05 1.003003e-03)
184           	(2.639993e-06 -4.550203e-05 1.002286e-03)
185           	(2.657041e-06 -4.441647e-05 1.000887e-03)
186           	(2.209922e-06 -4.378728e-05 1.000754e-03)
187           	(2.373811e-06 -4.298898e-05 1.000601e-03)
188           	(1.758046e-06 -4.207310e-05 1.001474e-03)
189           	(2.048558e-06 -4.179797e-05 1.001929e-03)
190           	(1.684867e-06 -4.165492e-05 1.001893e-03)
191           	(1.557219e-06 -4.081494e-05 1.001195e-03)
192           	(1.199554e-06 -4.018496e-05 1.000755e-03)
193           	(1.211311e-06 -3.968670e-05 1.000326e-03)
194           	(1.023008e-06 -3.934348e-05 1.000473e-03)
195           	(9.666647e-07 -3.916172e-05 1.000583e-03)
196           	(1.052972e-06 -3.836452e-05 1.000785e-03)
197           	(1.096204e-06 -3.831400e-05 1.000810e-03)
198           	(1.102793e-06 -3.772638e-05 1.000506e-03)
199           	(1.092557e-06 -3.789497e-05 1.000329e-03)
200           	(1.088867e-06 -3.735654e-05 1.000030e-03)
201           	(1.009828e-06 -3.763413e-05 1.000124e-03)
202           	(1.041616e-06 -3.707336e-05 1.000362e-03)
203           	(8.831919e-07 -3.735861e-05 1.000526e-03)
204           	(1.048788e-06 -3.667124e-05 1.000434e-03)
205           	(9.043447e-07 -3.705446e-05 1.000385e-03)
206           	(1.103896e-06 -3.657268e-05 1.000098e-03)
207           	(9.743131e-07 -3.678088e-05 9.997665e-04)
208           	(1.154408e-06 -3.652396e-05 9.997742e-04)
209           	(1.239437e-06 -3.629805e-05 9.998633e-04)
210           	(1.208073e-06 -3.644621e-05 1.000006e-03)
211           	(1.190106e-06 -3.652563e-05 1.000351e-03)
212           	(1.089367e-06 -3.653506e-05 1.000374e-03)
213           	(1.138753e-06 -3.633327e-05 1.000164e-03)
214           	(1.109135e-06 -3.631006e-05 9.999347e-04)
215           	(1.204346e-06 -3.607409e-05 9.998121e-04)
216           	(1.238262e-06 -3.587983e-05 9.998355e-04)
217           	(1.314832e-06 -3.578757e-05 9.999149e-04)
218           	(1.354143e-06 -3.568681e-05 9.999724e-04)
