# Region type : patch pressure_outlet
# Faces       : 6382
# Area        : 3.066803e-04
# Scale factor: 1.000000e+00
# Time        	sum(phi)
1             	-1.134335e-06
2             	1.032229e-05
3             	-3.699364e-06
4             	-8.496817e-06
5             	-8.042946e-06
6             	2.842265e-06
7             	4.390816e-06
8             	-1.312864e-06
9             	-1.548537e-05
10            	5.053851e-06
11            	-8.698247e-06
12            	1.738023e-06
13            	1.926909e-06
14            	2.933862e-06
15            	4.755135e-06
16            	-1.954489e-06
17            	-1.471800e-06
18            	4.121286e-06
19            	1.754854e-06
20            	2.663639e-06
21            	-6.799034e-07
22            	1.094323e-06
23            	8.458671e-07
24            	-8.876234e-07
25            	9.028569e-07
26            	1.319972e-06
27            	-1.596172e-06
28            	-1.974283e-07
29            	-6.705096e-07
30            	3.223384e-07
31            	6.582752e-07
32            	-5.480090e-07
33            	-4.122886e-07
34            	1.592589e-06
35            	-4.794266e-07
36            	1.522783e-06
37            	2.056315e-07
38            	-2.866246e-07
39            	-3.982588e-07
40            	-1.107604e-07
41            	-7.815107e-08
42            	2.205463e-07
43            	2.179973e-07
44            	-9.796238e-07
45            	-8.876690e-07
46            	-8.935763e-07
47            	2.027160e-07
48            	1.990534e-07
49            	6.101403e-08
50            	6.339108e-08
51            	-1.255581e-07
52            	-1.479904e-07
53            	-1.822495e-07
54            	-1.218999e-07
55            	8.543312e-07
56            	-3.173387e-07
57            	1.651249e-07
58            	1.356728e-07
59            	-7.338585e-08
60            	-5.109518e-07
61            	-4.246471e-07
62            	-1.315834e-06
63            	-8.626900e-07
64            	-1.220583e-07
65            	-2.345302e-07
66            	-3.483679e-08
67            	-2.387195e-07
68            	-2.384318e-07
69            	-2.276496e-07
70            	-2.304010e-07
71            	-2.071869e-07
72            	3.132780e-07
73            	1.696970e-07
74            	3.724854e-07
75            	-3.492097e-08
76            	-1.563926e-07
77            	1.556806e-07
78            	1.589060e-07
79            	1.524867e-07
80            	1.555692e-07
81            	-1.295037e-07
82            	-1.399826e-07
83            	-1.836498e-07
84            	-4.475395e-09
85            	9.199004e-08
86            	1.304676e-07
87            	8.019106e-08
88            	9.583298e-08
89            	1.134360e-07
90            	1.277718e-07
91            	1.182358e-07
92            	1.537641e-07
93            	1.162513e-07
94            	9.808117e-08
95            	-9.322943e-08
96            	1.088673e-07
97            	-9.273228e-08
98            	-5.605753e-08
99            	-1.329223e-07
100           	-3.248897e-07
101           	-9.213912e-08
102           	-1.721498e-07
103           	3.685945e-08
104           	-4.432194e-08
105           	1.319399e-07
106           	8.223245e-09
107           	4.474855e-08
108           	3.435635e-08
109           	1.623056e-07
110           	1.040127e-07
111           	2.253930e-08
112           	1.089045e-07
113           	-3.572878e-09
114           	-3.298585e-08
115           	-3.837036e-09
116           	-1.057083e-07
117           	-1.055357e-07
118           	-1.106661e-08
119           	-1.040015e-08
120           	-1.031478e-07
121           	-5.612321e-08
122           	-5.283698e-08
123           	-1.503831e-08
124           	-2.991840e-08
125           	5.488196e-08
126           	7.698173e-08
127           	8.903903e-08
128           	1.199248e-07
129           	9.797233e-08
130           	6.762380e-08
131           	-2.284272e-08
132           	1.164116e-07
133           	-3.376095e-08
134           	-4.265649e-08
135           	-4.919623e-08
136           	1.896480e-08
137           	2.190113e-08
138           	2.042941e-08
139           	2.048503e-08
140           	1.976012e-08
141           	-3.840522e-08
142           	3.091685e-08
143           	6.699155e-08
144           	-2.066727e-08
145           	-2.215452e-08
146           	-2.276247e-08
147           	-2.271444e-08
148           	-2.369360e-08
149           	-2.280550e-08
150           	3.713041e-08
151           	9.041007e-08
152           	5.354246e-08
153           	8.778717e-09
154           	-2.488663e-10
155           	-2.167382e-08
156           	-2.539790e-08
157           	-2.378127e-08
158           	-1.658354e-08
159           	3.326681e-09
160           	2.461598e-08
161           	4.506927e-08
162           	5.999162e-08
163           	1.972887e-08
164           	2.518732e-08
165           	2.544753e-08
166           	2.406246e-08
167           	6.771247e-08
168           	6.414803e-08
169           	6.481799e-08
170           	6.416424e-08
171           	2.033841e-08
172           	1.951391e-08
173           	4.937880e-08
174           	4.256774e-08
175           	3.660245e-08
176           	3.223353e-08
177           	3.144043e-08
178           	3.157103e-08
179           	3.559456e-08
180           	4.159904e-08
181           	4.645093e-08
182           	5.288922e-08
183           	5.732873e-08
184           	6.256620e-08
185           	6.369128e-08
186           	5.188193e-08
187           	3.893399e-08
188           	3.067115e-08
189           	3.163096e-08
190           	3.177241e-08
191           	3.947170e-08
192           	1.145056e-08
193           	3.455376e-09
194           	5.053804e-09
195           	5.498932e-09
196           	6.547895e-09
197           	1.174761e-08
198           	1.115883e-08
199           	1.091267e-08
200           	1.148557e-08
201           	1.165930e-08
